Layer	Standard	Role	Record
Study and manuscript	STORMS	Core	Human design, participants, ethics, results and disclosure
Study and manuscript	STREAMS	Core	Environmental, non-human host or synthetic study context
Study and manuscript	MIMAG	Entity add-on	Does not replace a study-level checklist
Study and manuscript	MIUViG	Entity add-on	Does not replace a study-level checklist
Sample and laboratory	STORMS	Core	Collection, storage, extraction, controls and batches
Sample and laboratory	STREAMS	Core	Spatial-temporal context, preservation, controls and quantities
Sample and laboratory	MIMAG	Supporting	Source and sequencing context enter the genome record
Sample and laboratory	MIUViG	Supporting	Dataset source and detection type enter the UViG record
Analysis and results	STORMS	Core	QC, software, databases, statistics and findings
Analysis and results	STREAMS	Core	Bioinformatics, bias, missingness and results
Analysis and results	MIMAG	Core for MAGs	Assembly, completeness, contamination, rRNA and tRNA
Analysis and results	MIUViG	Core for UViGs	Identification, structure, completeness and annotation
Entity and archive	STORMS	Supporting	Raw, processed, participant and code access
Entity and archive	STREAMS	Supporting	Metadata, raw/processed data, code and availability
Entity and archive	MIMAG	Core for MAGs	One quality record per SAG/MAG
Entity and archive	MIUViG	Core for UViGs	One mandatory-metadata record per UViG
